id;nombre_es;nombre_en;nombre_fr;es;en ;fr
HV-D01-001;;;;"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Remate</span> GUTS 2</strong>: +2 al remate.";"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Spike</span> GUTS 2</strong>: +2 to spike.";"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Attaque</span> GUTS - 2</strong>: +2 à l'attaque."
HV-D01-002;;;;"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Pase</span> GUTS 2</strong>: +2 al pase.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Passe</span> GUTS 2</strong> : +2 à la passe.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Passe</span> GUTS - 2</strong> : +2 à la passe."
HV-D01-003;;;;"<strong><span style=&quot;background:#424242; color:white; padding:1px 4px; border-radius:2px;&quot;>Bloqueo</span> GUTS 1</strong>: Sólo puedes usar esta habilidad si el ataque del rival es igual o inferior a 4. Roba una carta.";"<strong><span style=&quot;background:#424242; color:white; padding:1px 4px; border-radius:2px;&quot;>Block</span> GUTS - 1</strong>: You can only use this ability if the rival's attack is 4 or lower. Draw a card.";"<strong><span style=&quot;background:#424242; color:white; padding:1px 4px; border-radius:2px;&quot;>Bloc</span> GUTS - 1</strong> : Tu ne peux utiliser cette capacité que si l'attaque adverse est inférieure ou égale à 4. Pioche une carte."
HV-D01-005 ;;;;"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Recepción</span> GUTS 3</strong>: roba 1 carta y +2 a la recepción.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Reception</span> GUTS - 3</strong>: draw 1 card and +2 to reception.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Réception</span> GUTS - 3</strong> : pioche 1 carte et +2 à la réception."
HV-D01-007;;;;"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Recepción</span></strong> Descarta 1 carta de tu mano para añadir +3 a la recepción.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Reception</span></strong> Discard 1 card from your hand to add +3 to reception.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Réception</span></strong> Défausse 1 carte de ta main pour ajouter +3 à la réception."
HV-D01-011;¡El voleibol es un deporte en el que siempre se mira hacia arriba!;Volleyball is a sport that always looks up!;Le volley-ball est un sport qui regarde toujours vers le haut !;"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Recepción</span></strong> Roba 1. +1 de recepción. Si la recepción de base del jugador es de 4 o menos, +1 de recepción adicional.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Reception</span></strong> Draw 1. +1 reception. If the player's base reception is 4 or lower, +1 additional reception.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Réception</span></strong> Pioche 1. +1 de réception. Si la réception de base du joueur est de 4 ou moins, +1 de réception supplémentaire."
HV-D01-012;Ataque amplio ;Wide Attack;Attaque large ;"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Remate</span></strong> Roba 1 carta y añade +1 al remate. Si en la jugada están presentes <strong><span style= color:#2e7d32>Kageyama Tobio</span></strong> y <strong><span style= color:#c62828>Hinata Shoyo</span></strong>, el rival no podrá usar bloqueadores laterales para defender.";"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Spike</span></strong> Draw 1 card and add +1 to spike. If <strong><span style= color:#2e7d32>Kageyama Tobio</span></strong> and <strong><span style= color:#c62828>Hinata Shoyo</span></strong> are both present in the play, the rival cannot use side blockers to defend.";"<strong><span style=&quot;background:#c62828; color:white; padding:1px 4px; border-radius:2px;&quot;>Attaque</span></strong> Pioche 1 carte et ajoute +1 à l'attaque. Si <strong><span style= color:#2e7d32>Kageyama Tobio</span></strong> et <strong><span style= color:#c62828>Hinata Shoyo</span></strong> sont tous deux présents dans la jouée, l'adversaire ne pourra pas utiliser de bloqueurs latéraux pour défendre."
HV-D02-001;;;;"<strong><span style=&quot;background:#2e7d32; color:white; padding:1px 4px; border-radius:2px;&quot;>Pase</span> GUTS 2</strong> : +1 al pase. Durante el próximo turno, el rematador rival tendrá -2 al remate.";"<strong><span style=&quot;background:#2e7d32; color:white; padding:1px 4px; border-radius:2px;&quot;>Set</span> GUTS - 2</strong> : +1 to set. During the next turn, the rival spiker will have -2 to spike.";"<strong><span style=&quot;background:#2e7d32; color:white; padding:1px 4px; border-radius:2px;&quot;>Passe</span> GUTS - 2</strong> : +1 à la passe. Pendant le prochain tour, l'attaquant adverse aura -2 à l'attaque."
HV-D02-002;;;;"<strong><span style=&quot;background:#424242; color:white; padding:1px 4px; border-radius:2px;&quot;>Bloqueo</span> GUTS 1</strong>: Si el bloqueo es exitoso : </br><span style=&quot;background:#29b6f6; color:white; padding:1px 4px; border-radius:2px;&quot;><strong>Bloqueo Ofensivo (5)</strong></span> : Devuelve un contraataque con potencia de 5.";"<strong><span style=&quot;background:#424242; color:white; padding:1px 4px; border-radius:2px;&quot;>Block</span> GUTS - 1</strong>: If the block is successful: </br><span style=&quot;background:#29b6f6; color:white; padding:1px 4px; border-radius:2px;&quot;><strong>Offensive Block (5)</strong></span>: Returns a counterattack with power 5.";"<strong><span style=&quot;background:#424242; color:white; padding:1px 4px; border-radius:2px;&quot;>Bloc</span> GUTS - 1</strong> : Si le bloc est réussi : </br><span style=&quot;background:#29b6f6; color:white; padding:1px 4px; border-radius:2px;&quot;><strong>Bloc Offensif (5)</strong></span> : Renvoie une contre-attaque avec une puissance de 5."
HV-D02-003;;;;"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Recepción</span></strong> Descarta 1 carta de tu mano para añadir +2 a la recepción.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Reception</span></strong> Discard 1 card from your hand to add +2 to reception.";"<strong><span style=&quot;background:#1565c0; color:white; padding:1px 4px; border-radius:2px;&quot;>Réception</span></strong> Défausse 1 carte de ta main pour ajouter +2 à la réception."
