clave;es;en;fr;
log.noEsTuTurno;No es tu turno;Is not your turn;Ce n’est pas ton tour;
log.mulliganPrimero;Primero hay que resolver el mulligan;Mulligan must be resolved first;Il faut d’abord résoudre le mulligan;
log.soloMulligan;Sólo puedes devolver cartas durante el mulligan;You can only return cards during mulligan;Tu en peux retourner des cartes que pendant le mulligan;
log.seleccionaCarta;Selecciona una carta primero;Select a card first;Sélectionne une carte d’abord;
log.seleccionaCartaMulligan;Selecciona una carta para devolver al mazo;Select a card to return to the deck;Sélectionne une carte à remettre dans le deck;
log.cartaSeleccionadaCampo;Carta seleccionada: {carta};Card selected: {carta};Carte sélectionnée : {carta};
log.mulliganYaConfirmado;El mulligan ya ha sido confirmado;Mulligan already confirmed;Le mulligan a été déjà confirmé;
log.noEsFase;No es fase de {zona};Not the {zona} phase;Ce n'est pas la phase de {zona};
log.cartaJugadaEnZona;{carta} colocado en {zona};{carta} placed in {zona};{carta} placé en {zona};
log.noEsFaseRecepcion;No es fase de recepción;Not the reception phase;Ce n’est pas la phase de réception;
log.noEsFasePase ;No es fase de pase ;Not the set phase ;Ce n'est pas la phase de passe ;
log.noEsFaseRemate ;No es fase de remate ;Not the spike phase ;Ce n'est pas la phase d'attaque ;
log.noEsFaseBloqueo ;No es fase de bloqueo;Not the block phase ;Ce n'est pas la phase de bloc;
log.noCartaEnZona ;No has jugado ninguna carta este turno en {zona} ;No card played this turn in {zona} ;Aucune carte jouée ce tour en {zona} ;
log.eventoUsarBoton;Los eventos se juegan con el botón Jugar Evento;Events are played with the Play Event button;Les événements se jouent avec le bouton Jouer Événement;
log.zonaProhibida;{carta} no puede jugar en {zona};{carta} cannot play in {zona};{carta} ne peut pas jouer en {zona};
log.cartaDuplicada;Ya has jugado a {carta} este turno;You already played {carta} this turn;Tu as déjà joué {carta} ce tour;
log.noColocador;No puedes colocar un colocador (S) este turno;You cannot place a setter (S) this turn;Tu ne peux pas placer un passeur (S) ce tour;
log.yaHayCartaEnZona;Ya hay una carta en {zona};There is already a card in {zona};Il y a déjà une carte en {zona};
log.noReceptorAlto;No puedes colocar un receptor con recepción de 6 o más este turno;You cannot place a receiver with reception 6 or more this turn;Tu ne peux pas placer un receveur avec réception 6 ou plus ce tour;Por ver si dejo o no
log.sinCartasEnMazo;{jugador} no tiene más cartas en el mazo;{jugador} has no more cards in the deck;{jugador} n'a plus de cartes dans le deck;
log.robarCartas;{jugador} roba {cantidad} carta(s);{jugador} draws {cantidad} card(s);{jugador} pioche {cantidad} carte(s);
log.gutsInsuficiente;No hay suficientes cartas en la zona de GUTS indicada;Not enough cards in the indicated GUTS zone;Pas assez de cartes dans la zone GUTS indiquée;
log.gutsInsuficienteMultiZona;No hay suficientes GUTS en el campo (necesitas {cantidad}, tienes {total});Not enough GUTS on the field (need {cantidad}, have {total});Pas assez de GUTS sur le terrain (besoin de {cantidad}, vous en avez {total});
log.gutsUsado;GUTS usado correctamente en {zona};GUTS used correctly in {zona};GUTS utilisé correctement en {zona};
log.gutsMultiZona;GUTS: {cantidad} cartas enviadas al trash;GUTS: {cantidad} cards sent to discard;GUTS : {cantidad} cartes envoyées à la défausse;
log.gutsTitulo;GUTS en {zona}: </br>Descarta ( {actual} / {total} );GUTS in {zona}: </br>Discard ( {actual} / {total} );GUTS en {zona} :</br>Défaussez ( {actual} / {total} );
log.cartaTrasheadaDeZona;{carta} enviada al trash desde la zona de {zona} de {jugador};{carta} sent to discard from {jugador}'s {zona} zone;{carta} envoyée à la défausse depuis la zone {zona} de {jugador};
log.cartaEnGuts;Esta carta está en el GUTS y no puede usar su habilidad;This card is in the GUTS and cannot use its ability;Cette carte est dans le GUTS et ne peut pas utiliser sa capacité;
log.sinHabilidad;Esta carta no tiene habilidad;This card has no ability;Cette carte n'a pas de capacité;
log.habilidadYaUsada;Esta habilidad ya fue usada;This ability was already used;Cette capacité a déjà été utilisée;
log.noEsEvento;Esta carta no es un evento;This card is not an event;Cette carte n'est pas un événement;
log.eventoFaseIncorrecta;No puedes jugar este evento en fase de {zona};You cannot play this event in {zona} phase;Tu ne peux pas jouer cet événement en phase {zona};
log.eventoJugado;{jugador} juega el evento: {carta};{jugador} plays the event: {carta};{jugador} joue l'événement : {carta};
log.eventoEnMano;Necesitas una carta de evento en la mano;You need an event card in hand;Tu as besoin d'une carte événement en main;
log.eventoPagar;Carta de evento enviada al trash como coste;Event card sent to discard as cost;Carte événement envoyée à la défausse comme coût;
log.cartaUnica;Ya has jugado una carta de {carta} este turno;You already played a {carta} card this turn;Tu as déjà joué une carte {carta} ce tour;
log.sacaConPotencia;{carta} saca con una potencia de {valor};{carta} serves with a power of {valor};{carta} sert avec une puissance de {valor};
log.paseConPotencia;{carta} realiza un pase con una potencia de {valor};{carta} sets with a power of {valor};{carta} effectue une passe avec une puissance de {valor};
log.remataConPotencia;{carta} remata con una potencia de {valor};{carta} spikes with a power of {valor};{carta} attaque avec une puissance de {valor};
log.recepcionVsAtaque;Recepción: {recepcion} vs Ataque: {ataque};Reception: {recepcion} vs Attack: {ataque};Réception : {recepcion} vs Attaque : {ataque};
log.buenaRecepcion;{carta} recibe con una potencia de {valor} = Buena recepción;{carta} receives with a power of {valor} = Good reception;{carta} reçoit avec une puissance de {valor} = Bonne réception;
log.recepcionFallida;{carta} recibe con una potencia de {valor} = Recepción fallida;{carta} receives with a power of {valor} = Failed reception;{carta} reçoit avec une puissance de {valor} = Réception ratée;
log.puntoParaRival;Punto para {jugador};Point for {jugador};Point pour {jugador};
log.defensaTotal;Bloqueo total: {valor};Total block: {valor};Bloc total : {valor};
log.bloqueoExitoso;Bloqueo exitoso;Block successful;Bloc réussi;
log.bloqueoFallido;Bloqueo insuficiente;Block insufficient;Bloc insuffisant;
log.mulliganConfirmado;{jugador} confirma el mulligan;{jugador} confirms the mulligan;{jugador} confirme le mulligan;
